customer_id,customer_name,segment
AA-10315102,Alex Avila,Consumer
AA-10315120,Alex Avila,Consumer
AA-10315139,Alex Avila,Consumer
AA-103151402,Alex Avila,Consumer
AA-103151404,Alex Avila,Consumer
AA-103151406,Alex Avila,Consumer
AA-1031545,Alex Avila,Consumer
AA-1031548,Alex Avila,Consumer
AA-1031558,Alex Avila,Consumer
AA-103157,Alex Avila,Consumer
AA-1031582,Alex Avila,Consumer
AA-103751,Allen Armold,Consumer
AA-10375101,Allen Armold,Consumer
AA-103751402,Allen Armold,Consumer
AA-103751404,Allen Armold,Consumer
AA-103751406,Allen Armold,Consumer
AA-103751408,Allen Armold,Consumer
AA-1037545,Allen Armold,Consumer
AA-103755,Allen Armold,Consumer
AA-1037554,Allen Armold,Consumer
AA-1037558,Allen Armold,Consumer
AA-1037564,Allen Armold,Consumer
AA-103757,Allen Armold,Consumer
AA-1037582,Allen Armold,Consumer
AA-1037592,Allen Armold,Consumer
AA-10480101,Andrew Allen,Consumer
AA-10480102,Andrew Allen,Consumer
AA-10480130,Andrew Allen,Consumer
AA-10480139,Andrew Allen,Consumer
AA-104801402,Andrew Allen,Consumer
AA-104801406,Andrew Allen,Consumer
AA-104801408,Andrew Allen,Consumer
AA-1048031,Andrew Allen,Consumer
AA-1048045,Andrew Allen,Consumer
AA-1048048,Andrew Allen,Consumer
AA-1048059,Andrew Allen,Consumer
AA-104807,Andrew Allen,Consumer
AA-1048082,Andrew Allen,Consumer
AA-1048096,Andrew Allen,Consumer
AA-1064511,Anna Andreadi,Consumer
AA-10645139,Anna Andreadi,Consumer
AA-106451402,Anna Andreadi,Consumer
AA-106451404,Anna Andreadi,Consumer
AA-106451406,Anna Andreadi,Consumer
AA-106451408,Anna Andreadi,Consumer
AA-1064518,Anna Andreadi,Consumer
AA-1064531,Anna Andreadi,Consumer
AA-1064536,Anna Andreadi,Consumer
AA-1064545,Anna Andreadi,Consumer
AA-106455,Anna Andreadi,Consumer
AA-1064556,Anna Andreadi,Consumer
AA-1064558,Anna Andreadi,Consumer
AA-1064559,Anna Andreadi,Consumer
AA-1064564,Anna Andreadi,Consumer
AA-106457,Anna Andreadi,Consumer
AA-1064578,Anna Andreadi,Consumer
AA-106458,Anna Andreadi,Consumer
AA-1064582,Anna Andreadi,Consumer
AA-1064593,Anna Andreadi,Consumer
AA-1064598,Anna Andreadi,Consumer
AA-315108,Alex Avila,Consumer
AA-31513,Alex Avila,Consumer
AA-315134,Alex Avila,Consumer
AA-315137,Alex Avila,Consumer
AA-31552,Alex Avila,Consumer
AA-375103,Allen Armold,Consumer
AA-375110,Allen Armold,Consumer
AA-375134,Allen Armold,Consumer
AA-375146,Allen Armold,Consumer
AA-37515,Allen Armold,Consumer
AA-37523,Allen Armold,Consumer
AA-37569,Allen Armold,Consumer
AA-37595,Allen Armold,Consumer
AA-480137,Andrew Allen,Consumer
AA-48023,Andrew Allen,Consumer
AA-4803,Andrew Allen,Consumer
AA-4804,Andrew Allen,Consumer
AA-48075,Andrew Allen,Consumer
AA-645117,Anna Andreadi,Consumer
AA-645137,Anna Andreadi,Consumer
AA-6453,Anna Andreadi,Consumer
AA-64561,Anna Andreadi,Consumer
AA-64570,Anna Andreadi,Consumer
AA-64574,Anna Andreadi,Consumer
AA-64586,Anna Andreadi,Consumer
AA-64595,Anna Andreadi,Consumer
AB-10015130,Aaron Bergman,Consumer
AB-10015139,Aaron Bergman,Consumer
AB-100151402,Aaron Bergman,Consumer
AB-100151404,Aaron Bergman,Consumer
AB-10015144,Aaron Bergman,Consumer
AB-1001518,Aaron Bergman,Consumer
AB-1001527,Aaron Bergman,Consumer
AB-1001539,Aaron Bergman,Consumer
AB-1001545,Aaron Bergman,Consumer
AB-1001548,Aaron Bergman,Consumer
AB-100155,Aaron Bergman,Consumer
AB-1001551,Aaron Bergman,Consumer
AB-1001558,Aaron Bergman,Consumer
AB-1001559,Aaron Bergman,Consumer
AB-1001564,Aaron Bergman,Consumer
AB-100157,Aaron Bergman,Consumer
AB-1001582,Aaron Bergman,Consumer
AB-1001591,Aaron Bergman,Consumer
AB-1001593,Aaron Bergman,Consumer
AB-10060102,Adam Bellavance,Home Office
AB-10060107,Adam Bellavance,Home Office
AB-10060113,Adam Bellavance,Home Office
AB-10060117,Adam Bellavance,Home Office
AB-10060134,Adam Bellavance,Home Office
AB-10060139,Adam Bellavance,Home Office
AB-100601402,Adam Bellavance,Home Office
AB-100601404,Adam Bellavance,Home Office
AB-100601406,Adam Bellavance,Home Office
AB-100601408,Adam Bellavance,Home Office
AB-10060147,Adam Bellavance,Home Office
AB-1006027,Adam Bellavance,Home Office
AB-1006028,Adam Bellavance,Home Office
AB-1006036,Adam Bellavance,Home Office
AB-1006039,Adam Bellavance,Home Office
AB-1006045,Adam Bellavance,Home Office
AB-100605,Adam Bellavance,Home Office
AB-1006051,Adam Bellavance,Home Office
AB-1006055,Adam Bellavance,Home Office
AB-1006059,Adam Bellavance,Home Office
AB-1006061,Adam Bellavance,Home Office
AB-100607,Adam Bellavance,Home Office
AB-1006075,Adam Bellavance,Home Office
AB-1006082,Adam Bellavance,Home Office
AB-1006086,Adam Bellavance,Home Office
AB-1006091,Adam Bellavance,Home Office
AB-1006092,Adam Bellavance,Home Office
AB-1006096,Adam Bellavance,Home Office
AB-1006098,Adam Bellavance,Home Office
AB-10105101,Adrian Barton,Consumer
AB-10105120,Adrian Barton,Consumer
AB-101051402,Adrian Barton,Consumer
AB-101051404,Adrian Barton,Consumer
AB-101051406,Adrian Barton,Consumer
AB-101051408,Adrian Barton,Consumer
AB-1010518,Adrian Barton,Consumer
AB-1010528,Adrian Barton,Consumer
